Country,Year,Happiness_Rank,Happiness_Score,Economy_(GDP_per_Capita),Family,Health_(Life_Expectancy),Freedom,Trust_(Government_Corruption),Generosity,Dystopia_Residual
Switzerland,2018,5.0,7.487,1.42,1.5490000000000002,0.927,0.66,0.35700000000000004,0.256,2.3179999999999996
Iceland,2018,4.0,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.138,0.353,2.426
Denmark,2018,3.0,7.555,1.351,1.59,0.868,0.6829999999999999,0.408,0.284,2.3709999999999996
Norway,2018,2.0,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.34,0.28600000000000003,2.382999999999999
Canada,2018,7.0,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.29100000000000004,0.321,2.3049999999999997
Finland,2018,1.0,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.39299999999999996,0.20199999999999999,2.585000000000001
Netherlands,2018,6.0,7.441,1.361,1.4880000000000002,0.878,0.638,0.295,0.33299999999999996,2.4479999999999995
Sweden,2018,9.0,7.314,1.355,1.501,0.9129999999999999,0.659,0.38299999999999995,0.285,2.218
New Zealand,2018,8.0,7.324,1.268,1.601,0.8759999999999999,0.669,0.389,0.365,2.1559999999999997
Australia,2018,10.0,7.272,1.34,1.5730000000000002,0.91,0.647,0.302,0.361,2.1390000000000002
Israel,2018,19.0,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.272,0.354,1.912
Costa Rica,2018,13.0,7.072,1.01,1.459,0.8170000000000001,0.632,0.10099999999999999,0.14300000000000002,2.9099999999999993
Austria,2018,12.0,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.22399999999999998,0.242,2.3199999999999994
Mexico,2018,24.0,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.095,0.069,2.793999999999999
United States,2018,18.0,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.133,0.29100000000000004,2.2270000000000003
Brazil,2018,28.0,6.419,0.986,1.474,0.675,0.493,0.08800000000000001,0.11,2.593
Luxembourg,2018,17.0,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.321,0.196,1.769000000000001
Ireland,2018,14.0,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.306,0.307,1.842999999999999
Belgium,2018,16.0,6.9270000000000005,1.324,1.483,0.894,0.583,0.24,0.188,2.215
United Arab Emirates,2018,20.0,6.774,2.096,0.7759999999999999,0.67,0.284,0.0,0.18600000000000003,2.7620000000000005
United Kingdom,2018,11.0,7.19,1.244,1.433,0.888,0.46399999999999997,0.08199999999999999,0.262,2.817
Venezuela,2018,102.0,4.806,0.996,1.469,0.657,0.133,0.052000000000000005,0.055999999999999994,1.443
Singapore,2018,34.0,6.343,1.5290000000000001,1.4509999999999998,1.008,0.631,0.457,0.261,1.0060000000000002
Panama,2018,27.0,6.43,1.112,1.4380000000000002,0.759,0.597,0.063,0.125,2.3359999999999994
Germany,2018,15.0,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2.151
Chile,2018,25.0,6.476,1.131,1.331,0.8079999999999999,0.431,0.061,0.19699999999999998,2.5170000000000003
Qatar,2018,32.0,6.374,1.649,1.3030000000000002,0.748,0.654,0.171,0.256,1.592999999999999
France,2018,23.0,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.17600000000000002,0.098,2.0279999999999996
Argentina,2018,29.0,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.054000000000000006,0.062,2.417
Czech Republic,2018,21.0,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.034,0.064,2.4940000000000007
Uruguay,2018,31.0,6.379,1.093,1.459,0.7709999999999999,0.625,0.155,0.13,2.145999999999999
Colombia,2018,37.0,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2.5569999999999995
Thailand,2018,46.0,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.028999999999999998,0.364,1.9020000000000001
Saudi Arabia,2018,33.0,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2.2940000000000005
Spain,2018,36.0,6.31,1.251,1.538,0.965,0.449,0.07400000000000001,0.142,1.891
Malta,2018,22.0,6.627000000000001,1.27,1.525,0.884,0.645,0.142,0.376,1.7850000000000001
Kuwait,2018,45.0,6.082999999999999,1.474,1.301,0.675,0.5539999999999999,0.106,0.16699999999999998,1.8059999999999992
El Salvador,2018,40.0,6.167000000000001,0.8059999999999999,1.2309999999999999,0.639,0.461,0.08199999999999999,0.065,2.883000000000001
Guatemala,2018,30.0,6.382000000000001,0.7809999999999999,1.268,0.608,0.604,0.071,0.179,2.8710000000000004
Uzbekistan,2018,44.0,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.259,0.32799999999999996,1.8769999999999998
Slovakia,2018,39.0,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.013999999999999999,0.11800000000000001,2.1639999999999997
Japan,2018,54.0,5.915,1.294,1.462,0.988,0.5529999999999999,0.15,0.079,1.3889999999999993
South Korea,2018,57.0,5.875,1.266,1.204,0.955,0.244,0.051,0.175,1.9800000000000004
Ecuador,2018,48.0,5.973,0.889,1.33,0.736,0.556,0.12,0.114,2.2279999999999998
Bahrain,2018,43.0,6.105,1.338,1.3659999999999999,0.698,0.594,0.12300000000000001,0.243,1.7430000000000003
Italy,2018,47.0,6.0,1.264,1.501,0.946,0.281,0.027999999999999997,0.13699999999999998,1.8430000000000009
Bolivia,2018,62.0,5.752000000000001,0.7509999999999999,1.2229999999999999,0.508,0.606,0.054000000000000006,0.141,2.469000000000001
Moldova,2018,67.0,5.64,0.657,1.301,0.62,0.23199999999999998,0.0,0.171,2.6590000000000003
Paraguay,2018,64.0,5.681,0.835,1.5219999999999998,0.615,0.541,0.07400000000000001,0.162,1.9320000000000008
Kazakhstan,2018,60.0,5.79,1.143,1.516,0.631,0.45399999999999996,0.121,0.14800000000000002,1.7770000000000001
Slovenia,2018,51.0,5.9479999999999995,1.219,1.506,0.856,0.633,0.051,0.16,1.5229999999999988
Lithuania,2018,50.0,5.952000000000001,1.197,1.527,0.716,0.35,0.006,0.026000000000000002,2.130000000000001
Nicaragua,2018,41.0,6.141,0.6679999999999999,1.319,0.7,0.527,0.128,0.20800000000000002,2.5909999999999997
Peru,2018,65.0,5.662999999999999,0.934,1.249,0.674,0.53,0.034,0.092,2.149999999999999
Belarus,2018,73.0,5.483,1.0390000000000001,1.4980000000000002,0.7,0.307,0.154,0.10099999999999999,1.6839999999999997
Poland,2018,42.0,6.122999999999999,1.176,1.4480000000000002,0.7809999999999999,0.546,0.064,0.10800000000000001,1.9999999999999991
Malaysia,2018,35.0,6.322,1.161,1.258,0.669,0.35600000000000004,0.059000000000000004,0.311,2.508
Croatia,2018,82.0,5.321000000000001,1.115,1.161,0.737,0.38,0.039,0.12,1.7690000000000006
Libya,2018,70.0,5.566,0.985,1.35,0.5529999999999999,0.496,0.14800000000000002,0.11599999999999999,1.9179999999999997
Russia,2018,59.0,5.81,1.151,1.479,0.599,0.39899999999999997,0.025,0.065,2.0919999999999996
