Country,Year,Happiness_Rank,Happiness_Score,Economy_(GDP_per_Capita),Family,Health_(Life_Expectancy),Freedom,Trust_(Government_Corruption),Generosity,Dystopia_Residual
Poland,2019,40.0,6.182,1.206,1.4380000000000002,0.884,0.483,0.14,0.11699999999999999,2.0040000000000004
Malaysia,2019,80.0,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.078,0.26,1.327
Croatia,2019,75.0,5.432,1.155,1.266,0.914,0.29600000000000004,0.096,0.11900000000000001,1.6600000000000001
Libya,2019,72.0,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.064,0.133,1.8039999999999998
Russia,2019,68.0,5.648,1.183,1.452,0.726,0.33399999999999996,0.02,0.08199999999999999,1.8399999999999999
Jamaica,2019,56.0,5.89,0.831,1.4780000000000002,0.831,0.49,0.08,0.107,2.1249999999999996
Cyprus,2019,49.0,6.046,1.263,1.2229999999999999,1.042,0.406,0.162,0.19,1.8810000000000002
Algeria,2019,88.0,5.211,1.002,1.16,0.785,0.086,0.027000000000000003,0.073,1.9910000000000005
Kosovo,2019,46.0,6.1,0.882,1.232,0.758,0.489,0.025,0.262,2.471
Turkmenistan,2019,87.0,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.098,0.244,1.334000000000001
Mauritius,2019,57.0,5.888,1.12,1.402,0.7979999999999999,0.498,0.031,0.215,1.795
Estonia,2019,55.0,5.893,1.237,1.528,0.8740000000000001,0.495,0.107,0.10300000000000001,1.495
Indonesia,2019,92.0,5.192,0.9309999999999999,1.203,0.66,0.491,0.039,0.498,1.3809999999999998
Vietnam,2019,94.0,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.0,0.147,1.4740000000000002
Turkey,2019,79.0,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.152,0.083,1.6379999999999995
Kyrgyzstan,2019,86.0,5.261,0.551,1.4380000000000002,0.723,0.508,0.08,0.3,1.718
Nigeria,2019,85.0,5.265,0.696,1.111,0.245,0.426,0.14400000000000002,0.215,2.5309999999999997
Bhutan,2019,95.0,5.082,0.813,1.321,0.604,0.457,0.022000000000000002,0.37,1.35
Azerbaijan,2019,90.0,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.287,0.035,1.6809999999999992
Pakistan,2019,67.0,5.653,0.677,0.8859999999999999,0.535,0.313,0.10099999999999999,0.22,2.9239999999999995
Jordan,2019,101.0,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.006,0.11,1.4060000000000006
Montenegro,2019,73.0,5.523,1.051,1.361,0.871,0.19699999999999998,0.106,0.142,1.8209999999999997
China,2019,93.0,5.191,1.0290000000000001,1.125,0.893,0.521,0.024,0.057999999999999996,1.4650000000000003
Zambia,2019,138.0,4.107,0.578,1.058,0.426,0.431,0.142,0.247,1.2799999999999998
Romania,2019,48.0,6.07,1.162,1.232,0.825,0.462,0.034,0.083,2.3009999999999997
Serbia,2019,70.0,5.603,1.004,1.383,0.8540000000000001,0.282,0.038,0.13699999999999998,1.9039999999999995
